"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"1","bmg2026ikvs","2026-04-30T18:36:35.341179Z","-0.5069966912269592","134.31072998046875","4.1585097528526935","M","10","15","223.66506958007812","West Papua Region, Indonesia","BMKG"
"2","bmg2026iklo","2026-04-30T13:29:24.985Z","-2.523329019546509","138.35865783691406","4.861661006870502","M","271","8","338.54852294921875","West Papua, Indonesia","BMKG"
"3","bmg2026ijqn","2026-04-30T02:51:44.55823Z","-8.377180099487305","108.94723510742188","4.1356469073454063","M","10","51","211.21426391601562","Java, Indonesia","BMKG"
"4","bmg2026ijpd","2026-04-30T02:09:36.610125Z","-0.19359780848026276","123.18354034423828","4.201976028983097","M","115","56","49.5765380859375","Minahassa Peninsula, Sulawesi","BMKG"
"5","bmg2026ijnf","2026-04-30T01:10:40.174116Z","-4.318173408508301","125.9744644165039","4.264172354260489","M","379","86","71.23932647705078","Banda Sea","BMKG"
"6","bmg2026ijil","2026-04-29T22:46:59.322544Z","-5.63635778427124","130.94357299804688","4.13274753013805","M","74","20","124.33787155151367","Banda Sea","BMKG"
"7","bmg2026ijby","2026-04-29T19:29:07.736789Z","1.1634472608566284","126.2235870361328","4.1683957330146857","M","37","41","43.15191650390625","Northern Molucca Sea","BMKG"
"8","bmg2026iiwd","2026-04-29T16:33:06.216296Z","-2.2117908000946045","100.57421875","4.1764327954662654","M","22","21","95.99684143066406","Southern Sumatra, Indonesia","BMKG"
"9","bmg2026iiuu","2026-04-29T15:52:54.382443Z","-3.7919468879699707","136.42576599121094","4.12613721803576","M","10","15","125.24620056152344","West Papua, Indonesia","BMKG"
"10","bmg2026iioy","2026-04-29T12:55:55.773431Z","1.7429863214492798","120.6633529663086","3.956392549031157","M","10","26","156.39691162109375","Minahassa Peninsula, Sulawesi","BMKG"
"11","bmg2026iijl","2026-04-29T10:09:04.21314Z","-2.5082802772521973","121.0676727294922","4.2989233969991645","M","7","46","42.81326675415039","Sulawesi, Indonesia","BMKG"
"12","bmg2026iifr","2026-04-29T08:14:16.562816Z","-9.111459732055664","118.1281509399414","4.569927487633397","M","54","36","156.0751495361328","Sumbawa Region, Indonesia","BMKG"
"13","bmg2026ihjl","2026-04-28T21:01:08.395698Z","-2.39726185798645","136.22706604003906","3.907999268493475","M","26","11","178.8408966064453","West Papua Region, Indonesia","BMKG"
"14","bmg2026ihhk","2026-04-28T19:59:08.891321Z","2.606093168258667","128.24819946289062","4.375535144018","M","197","30","173.00089263916016","Halmahera, Indonesia","BMKG"
"15","bmg2026igdh","2026-04-28T04:46:03.460933Z","-0.15516768395900726","129.0547332763672","3.944314051354006","M","10","24","105.65736389160156","Halmahera, Indonesia","BMKG"
