"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"36","bmg2025srrs","2025-09-23T19:54:42.833915Z","-9.654829978942871","119.59021759033203","4.766376457149008","Mw","57","160","88.84487915039062","Sumba Region, Indonesia","BMKG"
"37","bmg2025srpp","2025-09-23T18:50:40.205897Z","-6.078280448913574","131.40286254882812","4.767536944584193","mb","100","98","77.89411926269531","Tanimbar Islands Region, Indonesia","BMKG"
"38","bmg2025srog","2025-09-23T18:09:24.35857Z","-7.08106517791748","129.66603088378906","4.3738611663161144","mb","193","34","81.81661987304688","Banda Sea","BMKG"
"39","bmg2025srmf","2025-09-23T17:08:12.333092Z","-6.451612949371338","128.50469970703125","4.96551539370221","mb","315","105","50.47627258300781","Banda Sea","BMKG"
"40","bmg2025srcb","2025-09-23T11:59:32.133955Z","-2.8761725425720215","127.4097900390625","4.1253126745914246","MLv","10","29","84.82327270507812","Ceram Sea","BMKG"
"41","bmg2025sqov","2025-09-23T05:18:54.629825Z","-6.908859729766846","129.5872344970703","4.194124881060744","MLv","37","11","129.70164489746094","Banda Sea","BMKG"
"42","bmg2025sqoj","2025-09-23T05:04:36.012209Z","-0.0721917524933815","123.588623046875","4.27922796859393","MLv","152","67","68.32865715026855","Minahassa Peninsula, Sulawesi","BMKG"
"43","bmg2025sqgz","2025-09-23T01:20:37.337845Z","2.817514181137085","95.21507263183594","5.205026930298638","MLv","13","62","218.9786376953125","Off West Coast of Northern Sumatra","BMKG"
"44","bmg2025sqgy","2025-09-23T01:19:11.229759Z","2.826556921005249","95.1847915649414","4.66502442120502","MLv","12","19","272.45229053497314","Off West Coast of Northern Sumatra","BMKG"
"45","bmg2025sqeb","2025-09-22T23:52:45.182287Z","-5.766541004180908","131.2571563720703","4.1451770026229333","M","10","10","267.8224868774414","Banda Sea","BMKG"
"46","bmg2025sqdu","2025-09-22T23:43:36.677293Z","-3.398885488510132","135.574462890625","4.366104314126053","M","29","26","77.96248054504395","West Papua Region, Indonesia","BMKG"
"47","bmg2025sptm","2025-09-22T18:31:53.677819Z","-6.056426048278809","130.83663940429688","5.035380548026777","Mw","142","224","52.68998718261719","Banda Sea","BMKG"
"48","bmg2025spgt","2025-09-22T12:06:17.907735Z","-3.6820220947265625","128.6811065673828","4.4648341363937476","MLv","124","37","144.2518539428711","Seram, Indonesia","BMKG"
"49","bmg2025spch","2025-09-22T09:50:18.554464Z","-3.426072359085083","135.56185913085938","4.2835453204252083","MLv","25","31","76.66339111328125","West Papua Region, Indonesia","BMKG"
"50","bmg2025sowg","2025-09-22T06:47:14.781815Z","-6.637524604797363","129.96542358398438","4.4551405724843907","Mw(mB)","176","56","50.28884887695312","Banda Sea","BMKG"
"51","bmg2025soph","2025-09-22T03:16:58.239825Z","1.4414021968841553","124.96839904785156","4.485242523983352","Mw(mB)","167","43","97.71090888977051","Minahassa Peninsula, Sulawesi","BMKG"
"52","bmg2025sobn","2025-09-21T20:18:54.974652Z","-6.963114738464355","129.7333221435547","4.1481942572705224","MLv","166","23","81.79019165039062","Banda Sea","BMKG"
"53","bmg2025snid","2025-09-21T10:30:53.13706Z","2.8380157947540283","95.33495330810547","4.4632532662589606","MLv","12","31","224.21670532226562","Off West Coast of Northern Sumatra","BMKG"
"54","bmg2025sngd","2025-09-21T09:30:34.488563Z","-1.9481066465377808","139.56851196289062","4.593902907991575","MLv","6","22","204.54615020751953","Near North Coast of West Papua","BMKG"
"55","bmg2025smur","2025-09-21T03:42:59.309563Z","-4.5007896423339844","140.75099182128906","4.04386092152792","MLv","9","17","177.64031982421875","West Papua, Indonesia","BMKG"
"56","bmg2025smio","2025-09-20T21:36:16.925509Z","4.133406639099121","97.45787811279297","4.267990125921263","MLv","5","52","47.56089019775391","Northern Sumatra, Indonesia","BMKG"
"57","bmg2025smdg","2025-09-20T18:54:36.3197Z","4.838703632354736","123.9876937866211","4.3828491090078456","MLv","424","50","122.7646942138672","Celebes Sea","BMKG"
"58","bmg2025slzb","2025-09-20T16:47:44.493758Z","-6.749343872070312","106.57266235351562","4.0055996295844345","MLv","5","79","68.03236389160156","Java, Indonesia","BMKG"
"59","bmg2025slku","2025-09-20T09:35:04.079371Z","-6.866328716278076","128.51187133789062","4.0354771415788653","MLv","64","18","66.54852294921875","Banda Sea","BMKG"
"60","bmg2025slfm","2025-09-20T06:54:14.762783Z","-3.711148262023926","127.85873413085938","4.766454439250698","MLv","5","58","93.58963012695312","Seram, Indonesia","BMKG"
"61","bmg2025skxb","2025-09-20T02:39:48.172265Z","3.692997455596924","126.85100555419922","4.347887373857948","MLv","27","28","144.44808959960938","Talaud Islands, Indonesia","BMKG"
"62","bmg2025siuc","2025-09-18T22:53:45.631813Z","-3.4388389587402344","135.57667541503906","5.194232261692033","Mw(mB)","19","58","48.50922393798828","West Papua Region, Indonesia","BMKG"
