"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"36","bmg2025uzjp","2025-10-26T11:57:29.000969Z","2.1432640552520752","126.73709869384766","4.3605227522374133","MLv","72","54","90.01544189453125","Northern Molucca Sea","BMKG"
"37","bmg2025uzhu","2025-10-26T11:02:37.216581Z","-1.9273247718811035","139.45263671875","4.1005734212864304","MLv","22","30","198.92122650146484","Near North Coast of West Papua","BMKG"
"38","bmg2025uyoo","2025-10-26T01:20:05.991172Z","-8.477712631225586","108.57489776611328","4.4475527759562175","MLv","65","120","209.77809143066406","Java, Indonesia","BMKG"
"39","bmg2025uycp","2025-10-25T19:17:56.055586Z","-7.837646961212158","127.54492950439453","4.833465263124973","MLv","129","33","189.63893508911133","Banda Sea","BMKG"
"40","bmg2025uycb","2025-10-25T19:01:37.263933Z","-4.796063423156738","133.90028381347656","4.246620367739303","MLv","33","32","132.8038330078125","West Papua Region, Indonesia","BMKG"
"41","bmg2025uxmn","2025-10-25T11:09:59.032176Z","-6.218528270721436","127.56454467773438","4.45644971654806","mb","395","141","36.61236572265625","Banda Sea","BMKG"
"42","bmg2025uxae","2025-10-25T04:56:27.561301Z","4.4265923500061035","96.53011322021484","4.512773460890056","Mw","6","76","63.56224060058594","Northern Sumatra, Indonesia","BMKG"
"43","bmg2025uwyh","2025-10-25T03:59:17.174068Z","-2.0557098388671875","120.65135955810547","4.4850920588309924","MLv","5","88","39.93495178222656","Sulawesi, Indonesia","BMKG"
"44","bmg2025uwui","2025-10-25T01:58:37.989152Z","-3.812196731567383","131.54722595214844","4.2289328171924856","MLv","32","65","58.65296936035156","West Papua Region, Indonesia","BMKG"
"45","bmg2025uwhh","2025-10-24T19:23:07.461074Z","-7.750270366668701","127.59368133544922","4.619714308998502","MLv","158","76","61.29119873046875","Banda Sea","BMKG"
"46","bmg2025uwgk","2025-10-24T18:56:09.385004Z","-3.885260820388794","131.53993225097656","4.5032145975915716","MLv","32","71","69.32772827148438","West Papua Region, Indonesia","BMKG"
"47","bmg2025uvej","2025-10-24T04:46:36.499454Z","-8.977407455444336","123.6883773803711","4.816619330444654","Mw","99","73","47.947509765625","Flores Region, Indonesia","BMKG"
"48","bmg2025uvar","2025-10-24T02:55:16.387143Z","5.920243263244629","127.0549087524414","4.4274227287239105","MLv","33","23","217.3786163330078","Philippine Islands Region","BMKG"
"49","bmg2025uurl","2025-10-23T22:14:29.243043Z","5.8350510597229","126.9660873413086","5.166350828412448","MLv","20","37","202.973388671875","Mindanao, Philippines","BMKG"
"50","bmg2025utym","2025-10-23T12:40:10.473606Z","-6.696899890899658","126.64508819580078","4.562761827132496","MLv","437","40","88.98995208740234","Banda Sea","BMKG"
"51","bmg2025utws","2025-10-23T11:46:11.008232Z","-6.32938814163208","131.0674285888672","5.582106736701707","Mw","117","221","56.57452392578125","Tanimbar Islands Region, Indonesia","BMKG"
"52","bmg2025utul","2025-10-23T10:37:25.891305Z","-4.633621692657471","102.7500991821289","4.786276711289644","MLv","53","139","85.47770690917969","Southern Sumatra, Indonesia","BMKG"
"53","bmg2025uskf","2025-10-22T16:18:59.875163Z","-1.9513516426086426","138.9183807373047","4.0697030179038673","MLv","27","32","190.4034194946289","Near North Coast of West Papua","BMKG"
"54","bmg2025urvy","2025-10-22T09:07:15.556819Z","-4.0049948692321777","126.31344604492188","4.835915194061517","Mw(Mwp)","19","130","49.69522094726562","Banda Sea","BMKG"
"55","bmg2025uquu","2025-10-21T19:23:42.297034Z","-1.8405671119689941","138.9551544189453","4.150269033987775","MLv","17","24","200.8456268310547","Near North Coast of West Papua","BMKG"
"56","bmg2025uquc","2025-10-21T19:03:01.145487Z","-4.736504077911377","104.42343139648438","4.776752091742044","MLv","160","133","43.844310760498047","Southern Sumatra, Indonesia","BMKG"
"57","bmg2025uqmp","2025-10-21T15:15:53.172922Z","-3.17067551612854","140.1553497314453","4.0617340856706976","MLv","17","24","67.31482315063477","West Papua, Indonesia","BMKG"
"58","bmg2025uqii","2025-10-21T13:06:16.953083Z","1.8569011688232422","127.28243255615234","4.061388363102056","MLv","106","57","81.90579223632812","Halmahera, Indonesia","BMKG"
"59","bmg2025uqfc","2025-10-21T11:27:59.860206Z","3.9611191749572754","122.9546890258789","4.571728572778721","MLv","526","89","105.06503677368164","Celebes Sea","BMKG"
"60","bmg2025uqey","2025-10-21T11:23:43.967399Z","-10.543938636779785","123.8002700805664","4.0694054981271437","MLv","46","77","84.47102355957031","Timor Region","BMKG"
"61","bmg2025uqbe","2025-10-21T09:29:41.250212Z","1.5363483428955078","126.94627380371094","4.2892525739103755","M","111","53","70.07013702392578","Northern Molucca Sea","BMKG"
"62","bmg2025uqak","2025-10-21T09:06:22.026649Z","-5.55034875869751","131.0650177001953","4.463566505873972","MLv","107","36","111.54202270507812","Banda Sea","BMKG"
"63","bmg2025upwp","2025-10-21T07:10:34.584353Z","-9.450262069702148","120.1212615966797","4.360023361880933","MLv","52","98","76.61320495605469","Sumba Region, Indonesia","BMKG"
"64","bmg2025upsn","2025-10-21T05:07:14.297634Z","-0.22228394448757172","124.48284912109375","4.017334642648154","MLv","13","49","65.89520263671875","Southern Molucca Sea","BMKG"
"65","bmg2025upnp","2025-10-21T02:38:09.385222Z","-1.9332202672958374","139.060546875","4.3366071335391485","MLv","16","40","192.75849151611328","Near North Coast of West Papua","BMKG"
"66","bmg2025upfm","2025-10-20T22:31:56.003407Z","-7.035215377807617","125.75372314453125","4.515981130666293","mb","515","110","44.10627746582031","Banda Sea","BMKG"
"67","bmg2025uoye","2025-10-20T18:50:28.921787Z","-1.9034037590026855","139.0012969970703","4.704797222057134","MLv","19","38","188.30854034423828","Near North Coast of West Papua","BMKG"
"68","bmg2025uoya","2025-10-20T18:45:03.791989Z","-7.375495433807373","125.7745132446289","4.276526717977829","mb","499","131","44.25245666503906","Banda Sea","BMKG"
"69","bmg2025uotb","2025-10-20T16:15:23.221302Z","-1.9223183393478394","138.9789581298828","4.681000395340186","MLv","20","38","187.27892303466797","Near North Coast of West Papua","BMKG"
"70","bmg2025uoio","2025-10-20T10:56:23.26334Z","-4.793511390686035","130.96875","4.111874834462018","MLv","25","34","114.20094299316406","Banda Sea","BMKG"
"71","bmg2025unyq","2025-10-20T05:56:02.768272Z","-9.296814918518066","119.84749603271484","5.046105429909346","mb","7","138","63.59394836425781","Sumba Region, Indonesia","BMKG"
"72","bmg2025unqd","2025-10-20T01:38:24.88895Z","1.8755518198013306","127.0596160888672","4.733261566498808","mb","27","64","82.64400482177734","Halmahera, Indonesia","BMKG"
"73","bmg2025unmc","2025-10-19T23:35:59.12389Z","-2.8500752449035645","129.42718505859375","4.938234709994815","MLv","22","72","46.57302856445312","Seram, Indonesia","BMKG"
"74","bmg2025unkk","2025-10-19T22:44:53.37053Z","-7.458255290985107","130.76651000976562","4.553564853360542","Mw","77","96","41.500030517578125","Tanimbar Islands Region, Indonesia","BMKG"
"75","bmg2025umwi","2025-10-19T15:37:20.776196Z","1.3293553590774536","125.82341766357422","4.3995317930482445","Mw","28","64","60.00094604492188","Northern Molucca Sea","BMKG"
"76","bmg2025umlj","2025-10-19T10:05:28.148909Z","-1.9381016492843628","138.9499969482422","4.628126919127017","MLv","7","48","177.1161651611328","Near North Coast of West Papua","BMKG"
"77","bmg2025umlf","2025-10-19T10:00:21.788174Z","-7.822198390960693","123.34425354003906","4.4097709778990417","Mw","25","153","50.99240875244141","Banda Sea","BMKG"
"78","bmg2025umhn","2025-10-19T08:09:15.439705Z","-1.9247108697891235","138.9976043701172","4.119615452206091","MLv","28","30","192.36054229736328","Near North Coast of West Papua","BMKG"
"79","bmg2025umfa","2025-10-19T06:53:19.805365Z","-8.291680335998535","109.04547882080078","4.397180153252263","Mw","51","181","158.3716278076172","Java, Indonesia","BMKG"
"80","bmg2025ulxf","2025-10-19T02:56:15.204692Z","-1.8470847606658936","139.07931518554688","4.1648437885431546","MLv","5","26","196.55794525146484","Near North Coast of West Papua","BMKG"
"81","bmg2025ulxc","2025-10-19T02:52:34.361319Z","-1.9381656646728516","138.9617919921875","4.949327851826697","Mw","7","100","177.2494125366211","Near North Coast of West Papua","BMKG"
"82","bmg2025ulqp","2025-10-18T23:35:59.178041Z","-0.19914346933364868","122.96336364746094","4.3470731923920187","MLv","79","81","39.8779296875","Minahassa Peninsula, Sulawesi","BMKG"
"83","bmg2025ulbl","2025-10-18T15:57:02.552786Z","-8.109593391418457","114.81229400634766","4.3314935552176115","MLv","200","106","81.45782470703125","Bali Region, Indonesia","BMKG"
"84","bmg2025ukwb","2025-10-18T13:13:15.135152Z","-7.270122528076172","129.54209899902344","4.3092408287849295","mb","118","38","81.2947998046875","Banda Sea","BMKG"
