"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"35","bmg2025xdvu","2025-11-26T09:44:50.424516Z","-2.5553226470947266","138.8830108642578","4.0400546235015486","MLv","8","18","95.44345092773438","West Papua, Indonesia","BMKG"
"36","bmg2025xdtd","2025-11-26T08:24:29.998688Z","5.251115322113037","127.0863265991211","4.490293182385173","Mw(mB)","107","54","173.18170166015625","Philippine Islands Region","BMKG"
"37","bmg2025xdoq","2025-11-26T06:07:50.666869Z","4.219010353088379","127.57230377197266","4.0729110362328864","Mw(mB)","113","29","197.34799194335938","Talaud Islands, Indonesia","BMKG"
"38","bmg2025xdnw","2025-11-26T05:43:40.866865Z","0.27653804421424866","125.50286865234375","4.2263731988085365","Mw(mB)","1","52","40.94703674316406","Northern Molucca Sea","BMKG"
"39","bmg2025xdnj","2025-11-26T05:28:38.67914Z","2.3785738945007324","98.9422836303711","4.803025151512532","MLv","149","84","40.800201416015625","Northern Sumatra, Indonesia","BMKG"
"40","bmg2025xcvy","2025-11-25T20:40:40.721377Z","0.6321797370910645","121.44133758544922","4.529565186310578","MLv","77","104","62.7076644897461","Minahassa Peninsula, Sulawesi","BMKG"
"41","bmg2025xchd","2025-11-25T13:11:48.543686Z","-9.053648948669434","119.66519165039062","4.0436499362012865","MLv","6","64","45.21218872070312","Sumba Region, Indonesia","BMKG"
"42","bmg2025xcez","2025-11-25T12:06:56.893488Z","2.4038238525390625","126.8257064819336","4.259983157658982","MLv","28","75","103.56977081298828","Northern Molucca Sea","BMKG"
"43","bmg2025xbwa","2025-11-25T07:35:10.683094Z","-4.712930679321289","104.4370346069336","4.2955234848852326","MLv","158","85","46.94089508056641","Southern Sumatra, Indonesia","BMKG"
"44","bmg2025xbdp","2025-11-24T22:16:20.053852Z","1.2310820817947388","128.50634765625","4.096060677878145","MLv","3","39","130.78873443603516","Halmahera, Indonesia","BMKG"
"45","bmg2025xawo","2025-11-24T18:43:28.764485Z","-7.814258575439453","128.3721160888672","4.470587758862334","MLv","80","29","146.26317596435547","Banda Sea","BMKG"
"46","bmg2025xaud","2025-11-24T17:30:16.671413Z","4.920050144195557","96.78325653076172","4.736557517591932","MLv","5","50","53.51376342773438","Northern Sumatra, Indonesia","BMKG"
"47","bmg2025xasq","2025-11-24T16:44:13.823076Z","-7.119234085083008","129.36941528320312","4.006635365821106","MLv","197","21","85.28688049316406","Banda Sea","BMKG"
"48","bmg2025wzol","2025-11-24T01:28:53.822234Z","2.478494167327881","128.3810577392578","4.695135202911442","MLv","219","67","154.6628189086914","Halmahera, Indonesia","BMKG"
"49","bmg2025wzke","2025-11-23T23:20:03.717192Z","-7.321709156036377","126.41910552978516","4.206221050024073","MLv","400","41","85.9604721069336","Banda Sea","BMKG"
"50","bmg2025wzid","2025-11-23T22:18:22.748522Z","5.137093067169189","126.6803207397461","4.349230343649584","MLv","5","30","164.744873046875","Mindanao, Philippines","BMKG"
"51","bmg2025wzex","2025-11-23T20:40:24.863968Z","-9.231147766113281","111.86066436767578","5.015727282028697","MLv","40","120","204.25849151611328","South of Java, Indonesia","BMKG"
"52","bmg2025wyuy","2025-11-23T15:37:41.311593Z","1.8020108938217163","126.52545166015625","4.297942712987294","Mw","10","111","73.53170418739319","Northern Molucca Sea","BMKG"
"53","bmg2025wykv","2025-11-23T10:31:21.446293Z","-7.383734703063965","129.21766662597656","4.10332595252866","MLv","138","19","97.81280517578125","Banda Sea","BMKG"
"54","bmg2025wyfb","2025-11-23T07:36:20.364001Z","1.2482833862304688","128.50872802734375","4.437620764370843","MLv","5","48","139.31171417236328","Halmahera, Indonesia","BMKG"
