epoch,loss,mae_deg,n_batches,val_loss,val_mae_deg,lr
1,0.179298249672344,66.78453063964844,466,0.6994346878447822,71.04443359375,9.891830623632339e-05
2,0.1562970998584402,65.99226379394531,463,0.6933682727340226,70.10946655273438,9.572050015330874e-05
3,0.1605128281110805,66.71432495117188,463,0.7080260071659756,72.38873291015625,9.05463412215599e-05
4,0.18084011170205164,67.389404296875,462,0.7117587079024204,72.94352722167969,8.362196501476348e-05
5,0.17039250175917883,66.98790740966797,461,0.6982316589592216,70.84708404541016,7.525e-05
6,0.1696723725070183,66.76805877685547,465,0.7048575475672695,71.8801498413086,6.57963412215599e-05
7,0.16204137203356203,67.0030288696289,463,0.6997608159816711,71.07645416259766,5.567415893174885e-05
8,0.1661527708979746,66.71060943603516,463,0.7056933169331506,72.00393676757812,4.532584106825116e-05
9,0.16642684398907046,66.72716522216797,464,0.6990347897337976,70.96698760986328,3.5203658778440106e-05
10,0.1652750205409746,66.79460144042969,465,0.7085910968691389,72.4585952758789,2.5750000000000013e-05
11,0.16328083324229856,67.68980407714844,465,0.7003252135816022,71.16285705566406,1.7378034985236535e-05
12,0.16049323241184693,65.85088348388672,463,0.7012070256207034,71.30034637451172,1.0453658778440107e-05
13,0.16629323999945125,66.3678207397461,464,0.7028959356944695,71.56373596191406,5.279499846691252e-06
14,0.1652567522088013,66.17282104492188,465,0.7036843660557381,71.6877670288086,2.0816937636766186e-06
15,0.16713819698095111,66.34539794921875,463,0.7039439764535316,71.72805786132812,1.0000000000000002e-06
