epoch,train_loss,train_dir_loss,train_gate_penalty,train_mae,train_median_ae,val_mae,val_median_ae,train_gate,val_gate,lr,time_s
1,0.3227,0.2613,0.1229,28.86,9.32,69.96,40.00,0.6945,0.9024,1.00e-05,1496.9
2,0.1806,0.1767,0.0078,20.00,4.40,70.59,40.88,0.9130,0.9422,9.05e-06,1330.9
3,0.1764,0.1745,0.0039,19.10,3.24,69.86,38.51,0.9380,0.9565,6.55e-06,1359.9
4,0.1689,0.1675,0.0029,18.33,2.78,69.94,38.86,0.9463,0.9590,3.45e-06,1454.1
5,0.1783,0.1769,0.0027,18.69,2.60,69.97,39.10,0.9480,0.9601,9.55e-07,1338.4
6,0.1751,0.1739,0.0023,18.69,2.22,70.07,39.31,0.9526,0.9669,1.00e-05,1312.2
7,0.1724,0.1715,0.0017,18.20,1.79,70.50,40.77,0.9596,0.9707,9.05e-06,1241.1
8,0.1851,0.1845,0.0013,18.80,1.44,71.10,42.43,0.9648,0.9719,6.55e-06,1244.9
9,0.1652,0.1646,0.0012,17.51,1.26,70.78,41.73,0.9665,0.9736,3.45e-06,1237.9
10,0.1812,0.1807,0.0011,18.68,1.22,70.55,41.06,0.9679,0.9738,9.55e-07,1323.3
11,0.1670,0.1664,0.0012,17.28,1.08,71.22,42.63,0.9658,0.9714,1.00e-05,1334.3
