date,y_true,prob,pred,kp,mag_true,mag_pred,azm_true,azm_pred
2026-01-01,0.0,0.43955451250076294,0,3.0,0.0,4.9644775390625,0.0,107.85755157470703
2026-01-02,0.0,0.0,0,5.0,0.0,4.9797539710998535,0.0,97.14604949951172
2026-01-03,1.0,0.43955451250076294,0,3.0,5.007236480712891,4.941181182861328,63.56890106201172,89.78106689453125
2026-01-04,0.0,0.43955451250076294,0,3.0,0.0,4.989136219024658,0.0,109.0333023071289
2026-01-05,0.0,0.43955451250076294,0,4.333000183105469,0.0,4.9391703605651855,0.0,89.87091064453125
2026-01-06,0.0,0.43955451250076294,0,2.3329999446868896,0.0,4.992608070373535,0.0,108.73033905029297
2026-01-07,1.0,0.43955451250076294,0,2.3329999446868896,5.193789005279541,5.039656639099121,106.70801544189453,109.2921371459961
2026-01-08,1.0,0.43955451250076294,0,4.0,5.032421588897705,4.960374355316162,89.83499145507812,93.88617706298828
2026-01-09,0.0,0.43955451250076294,0,3.3329999446868896,0.0,4.9664835929870605,0.0,107.71088409423828
2026-01-10,1.0,0.0,0,5.666999816894531,6.408738136291504,4.9436869621276855,68.13653564453125,89.85496520996094
2026-01-11,0.0,0.0,0,5.333000183105469,0.0,4.9974493980407715,0.0,88.54188537597656
2026-01-12,0.0,0.43955451250076294,0,4.333000183105469,0.0,4.978596210479736,0.0,88.37664031982422
2026-01-13,0.0,0.43955451250076294,0,3.3329999446868896,0.0,4.9487385749816895,0.0,88.7692642211914
2026-01-14,0.0,0.43955451250076294,0,2.6670000553131104,0.0,5.013146877288818,0.0,102.72530364990234
2026-01-15,0.0,0.43955451250076294,0,3.0,0.0,4.964535713195801,0.0,107.96904754638672
2026-01-16,1.0,0.0,0,5.0,5.149003505706787,4.98455286026001,97.11674499511719,105.29962158203125
2026-01-17,0.0,0.0,0,5.0,0.0,4.940200328826904,0.0,88.99405670166016
2026-01-18,1.0,0.43955451250076294,0,3.6670000553131104,5.132344722747803,4.938287258148193,83.77548217773438,90.1895751953125
2026-01-19,0.0,0.0,0,8.666999816894531,0.0,4.9148125648498535,0.0,108.41175842285156
2026-01-20,0.0,0.0,0,7.666999816894531,0.0,4.925617218017578,0.0,108.31986999511719
